

#
# Macro definitions
#
$catalogVersion=catalogVersion(catalog(id[default='outdoors']),version[default='Staged'])[unique=true,default='outdoors:Staged']
$prices=europe1Prices[translator=de.hybris.platform.europe1.jalo.impex.Europe1PricesTranslator]
$baseProduct=baseProduct(code,catalogVersion(catalog(id[default='outdoors']),version[default='Staged']))
$supercategories=supercategories(code,catalogVersion(catalog(id[default='outdoors']),version[default='Staged']))
$picture=picture(code,$catalogVersion)
$thumbnail=thumbnail(code,$catalogVersion)
$medias=medias(code,catalogVersion(catalog(id[default='outdoors']),version[default='Staged']))
$gallery=galleryImages(qualifier,catalogVersion(catalog(id[default='outdoors']),version[default='Staged']))


#
# Create variant product type Shoes
#
$impex.legacy.scripting=true;
#%import de.hybris.platform.jalo.type.Type;
#%import de.hybris.platform.jalo.type.TypeManager;
#%import java.util.Collections;
#%import java.util.Map;
#%import de.hybris.platform.jalo.SessionContext;
#%import de.hybris.platform.jalo.JaloSession;
#%import de.hybris.platform.jalo.c2l.C2LManager;
#%import de.hybris.platform.jalo.type.AttributeDescriptor;
#%import de.hybris.platform.jalo.type.JaloDuplicateQualifierException;
#%import de.hybris.platform.variants.jalo.VariantAttributeDescriptor;
#%import de.hybris.platform.variants.jalo.VariantType;
#%import de.hybris.platform.variants.jalo.VariantsManager;

#%Type stringType = TypeManager.getInstance().getType("java.lang.String");
#%Type locStringType = TypeManager.getInstance().getType("localized:java.lang.String");
#%Map emptyDefaultValue = Collections.EMPTY_MAP;
#%SessionContext en = JaloSession.getCurrentSession().createSessionContext();
#%en.setLanguage(C2LManager.getInstance().getLanguageByIsoCode("en"));
#%SessionContext noLang = JaloSession.getCurrentSession().createSessionContext();
#%noLang.setLanguage(null);
#// Shoes
#%VariantType vt = VariantsManager.getInstance().createVariantType("Shoes");
#%vt.getAttributeDescriptor("code").setUnique(true);
#%vt.getAttributeDescriptor("catalogVersion").setUnique(true);
#%vt.setName(en, "Shoe");
#%VariantAttributeDescriptor vad = vt.createVariantAttributeDescriptor("size", stringType, AttributeDescriptor.READ_FLAG + AttributeDescriptor.WRITE_FLAG + AttributeDescriptor.SEARCH_FLAG);
#%vad.setName(en, "Size");
#%vad.setPosition(0);
#%vad = vt.createVariantAttributeDescriptor("color", locStringType, AttributeDescriptor.READ_FLAG + AttributeDescriptor.WRITE_FLAG + AttributeDescriptor.SEARCH_FLAG);
#%vad.setName(en, "Color");
#%vad.setPosition(1);
#%vad.setDefaultValue(noLang, emptyDefaultValue);



INSERT_UPDATE Tax;code[unique=true];name[lang=de];name[lang=en];value;currency(isocode)
;VAT_FULL;MwSt voll;VAT full;19;
;VAT_HALF;MwSt halb;VAT half;7;

INSERT_UPDATE ProductTaxGroup;code[unique=true];name[lang=de];name[lang=en];
;Tax_Full;voller Steuersatz;full tax rate;
;Tax_Half;halber Steuersatz;half tax rate;

INSERT_UPDATE TaxRow;pg(code)[unique=true];tax(code)[unique=true];value;currency(isocode);
;Tax_Full;VAT_FULL;19;
;Tax_Half;VAT_HALF;7;

#
# Create a catalog
#
INSERT_UPDATE Catalog;id[unique=true];name[lang=en];name[lang=de];
;outdoors;Outdoors;Outdoors

#
# Create a catalog version
#
INSERT_UPDATE CatalogVersion;catalog(id)[unique=true];version[unique=true];active;writePrincipals(uid)[default=productmanagergroup];
;outdoors;Staged;true;productmanagergroup,productmanager;
;outdoors;Online;false;productmanagergroup,productmanager;

#
# Create a category
#
INSERT_UPDATE Category;code[unique=true];allowedPrincipals(uid);$catalogVersion;name[lang=de];name[lang=en];description[lang=de];description[lang=en];$supercategories;
;38746;Shoes;"Tuareg Summer";"Tuareg Summer";pieces;outdoors:Online;"<p>Easywash lightweight cotton keeps you cool and comfortable in the hottest weather. Pre-shrunk stain-resistant fabric. Extra-deep front pockets. Natural Fit is relaxed through the hip and thigh with straight legs. Double stitching throughout. Machine wash and dry.</p>";"<p>Easywash lightweight cotton keeps you cool and comfortable in the hottest weather. Pre-shrunk stain-resistant fabric. Extra-deep front pockets. Natural Fit is relaxed through the hip and thigh with straight legs. Double stitching throughout. Machine wash and dry.</p>";approved;shorts:outdoors:Online;Tax_Full;"1 pieces = 39.9 USD N";"Tuareg.jpg:outdoors:Online";"Tuareg.thumbnail.jpg:outdoors:Online";"Men's Shorts";"Men's Shorts";38746-media:outdoors:Online;



;834765;Shoes;"Fulani Nomad";"Fulani Nomad";pieces;outdoors:Staged;"<p>Fulani pants are ideal for hiking or camping. Durable quick-dry fabric ensures that you are always comfortable. An elasticized waistband provides comfort and fit. And best of all, when you get too warm, you can convert them to shorts!<br></p>";"<p>Fulani pants are ideal for hiking or camping. Durable quick-dry fabric ensures that you are always comfortable. An elasticized waistband provides comfort and fit. And best of all, when you get too warm, you can convert them to shorts!<br></p>";approved;pants:outdoors:Staged;Tax_Full;"1 pieces = 59.9 USD N";"Fulani.jpg:outdoors:Staged";"Fulani.thumbnail.jpg:outdoors:Staged";"Men's Hiking Pants";"Men's Hiking Pants";834765-media:outdoors:Staged;
;834765;Shoes;"Fulani Nomad";"Fulani Nomad";pieces;outdoors:Online;"<p>Fulani pants are ideal for hiking or camping. Durable quick-dry fabric ensures that you are always comfortable. An elasticized waistband provides comfort and fit. And best of all, when you get too warm, you can convert them to shorts!<br></p>";"<p>Fulani pants are ideal for hiking or camping. Durable quick-dry fabric ensures that you are always comfortable. An elasticized waistband provides comfort and fit. And best of all, when you get too warm, you can convert them to shorts!<br></p>";approved;pants:outdoors:Online;Tax_Full;"1 pieces = 59.9 USD N";"Fulani.jpg:outdoors:Online";"Fulani.thumbnail.jpg:outdoors:Online";"Men's Hiking Pants";"Men's Hiking Pants";834765-media:outdoors:Online;



;8376;Shoes;"Edmonton Winter";"Edmonton Winter";pieces;outdoors:Staged;"<p>The Edmonton men's winter coat is lined with goose down to keep you warm even on the coldest days. An outer shell of Nortex keeps the wind out while allowing the coat to breath.<br></p>";"<p>The Edmonton men's winter coat is lined with goose down to keep you warm even on the coldest days. An outer shell of Nortex keeps the wind out while allowing the coat to breath.<br></p>";approved;coats:outdoors:Staged;Tax_Full;"1 pieces = 160.0 USD N";"Edmonton.jpg:outdoors:Staged";"Edmonton.thumbnail.jpg:outdoors:Staged";"Men's Winter Coat";"Men's Winter Coat";8376-media:outdoors:Staged;
;8376;Shoes;"Edmonton Winter";"Edmonton Winter";pieces;outdoors:Online;"<p>The Edmonton men's winter coat is lined with goose down to keep you warm even on the coldest days. An outer shell of Nortex keeps the wind out while allowing the coat to breath.<br></p>";"<p>The Edmonton men's winter coat is lined with goose down to keep you warm even on the coldest days. An outer shell of Nortex keeps the wind out while allowing the coat to breath.<br></p>";approved;coats:outdoors:Online;Tax_Full;"1 pieces = 160.0 USD N";"Edmonton.jpg:outdoors:Online";"Edmonton.thumbnail.jpg:outdoors:Online";"Men's Winter Coat";"Men's Winter Coat";8376-media:outdoors:Online;



;29387;Shoes;"Bora Bora";"Bora Bora";pieces;outdoors:Staged;"<p>Lightweight cotton in a variety of colors. Perfect for both working out or lounging around at home.<br></p>";"<p>Lightweight cotton in a variety of colors. Perfect for both working out or lounging around at home.<br></p>";approved;shirts_0:outdoors:Staged;Tax_Full;"1 pieces = 38.0 USD N";"Bora Bora.jpg:outdoors:Staged";"Bora Bora.thumbnail.jpg:outdoors:Staged";"Women's Fitness Top";"Women's Fitness Top";29387-media:outdoors:Staged;
;29387;Shoes;"Bora Bora";"Bora Bora";pieces;outdoors:Online;"<p>Lightweight cotton in a variety of colors. Perfect for both working out or lounging around at home.<br></p>";"<p>Lightweight cotton in a variety of colors. Perfect for both working out or lounging around at home.<br></p>";approved;shirts_0:outdoors:Online;Tax_Full;"1 pieces = 38.0 USD N";"Bora Bora.jpg:outdoors:Online";"Bora Bora.thumbnail.jpg:outdoors:Online";"Women's Fitness Top";"Women's Fitness Top";29387-media:outdoors:Online;



;3987445;Shoes;"Maui Marine";"Maui Marine";pieces;outdoors:Staged;"<p>Lightweight cotton in a variety of colors. Perfect for both working out or lounging around at home.</p>";"<p>Lightweight cotton in a variety of colors. Perfect for both working out or lounging around at home.</p>";approved;shirts_0:outdoors:Staged;Tax_Full;"1 pieces = 29.9 USD N";"Maui.jpg:outdoors:Staged";"Maui.thumbnail.jpg:outdoors:Staged";"Women's Cotton Top";"Women's Cotton Top";3987445-media:outdoors:Staged;
;3987445;Shoes;"Maui Marine";"Maui Marine";pieces;outdoors:Online;"<p>Lightweight cotton in a variety of colors. Perfect for both working out or lounging around at home.</p>";"<p>Lightweight cotton in a variety of colors. Perfect for both working out or lounging around at home.</p>";approved;shirts_0:outdoors:Online;Tax_Full;"1 pieces = 29.9 USD N";"Maui.jpg:outdoors:Online";"Maui.thumbnail.jpg:outdoors:Online";"Women's Cotton Top";"Women's Cotton Top";3987445-media:outdoors:Online;



;5786438;Shoes;"Norfolk Highland";"Norfolk Highland";pieces;outdoors:Staged;"<p>100% New Zealand wool poncho with shoulder clasp. Soft and non-scratchy. Perfect for cool autumn days.</p>";"<p>100% New Zealand wool poncho with shoulder clasp. Soft and non-scratchy. Perfect for cool autumn days.</p>";approved;shirts_0:outdoors:Staged;Tax_Full;"1 pieces = 85.0 USD N";"Norfolk.jpg:outdoors:Staged";"Norfolk.thumbnail.jpg:outdoors:Staged";"Women's Poncho";"Women's Poncho";5786438-media:outdoors:Staged;
;5786438;Shoes;"Norfolk Highland";"Norfolk Highland";pieces;outdoors:Online;"<p>100% New Zealand wool poncho with shoulder clasp. Soft and non-scratchy. Perfect for cool autumn days.</p>";"<p>100% New Zealand wool poncho with shoulder clasp. Soft and non-scratchy. Perfect for cool autumn days.</p>";approved;shirts_0:outdoors:Online;Tax_Full;"1 pieces = 85.0 USD N";"Norfolk.jpg:outdoors:Online";"Norfolk.thumbnail.jpg:outdoors:Online";"Women's Poncho";"Women's Poncho";5786438-media:outdoors:Online;



;843765;Shoes;"Palau Summer";"Palau Summer";pieces;outdoors:Staged;"<p>Lightweight cotton in a variety of colors. Perfect for both working out or lounging around at home.</p>";"<p>Lightweight cotton in a variety of colors. Perfect for both working out or lounging around at home.</p>";approved;shirts_0:outdoors:Staged;Tax_Full;"1 pieces = 55.0 USD N";"Palau Red.jpg:outdoors:Staged";"Palau Red.thumbnail.jpg:outdoors:Staged";"Women's Cotton Shirt";"Women's Cotton Shirt";843765-media:outdoors:Staged;
;843765;Shoes;"Palau Summer";"Palau Summer";pieces;outdoors:Online;"<p>Lightweight cotton in a variety of colors. Perfect for both working out or lounging around at home.</p>";"<p>Lightweight cotton in a variety of colors. Perfect for both working out or lounging around at home.</p>";approved;shirts_0:outdoors:Online;Tax_Full;"1 pieces = 55.0 USD N";"Palau Red.jpg:outdoors:Online";"Palau Red.thumbnail.jpg:outdoors:Online";"Women's Cotton Shirt";"Women's Cotton Shirt";843765-media:outdoors:Online;



;657438;Shoes;"Tupai Summer";"Tupai Summer";pieces;outdoors:Staged;"<p>Lightweight cotton in a variety of colors. Perfect for both working out or lounging around at home.</p>";"<p>Lightweight cotton in a variety of colors. Perfect for both working out or lounging around at home.</p>";approved;shirts_0:outdoors:Staged;Tax_Full;"1 pieces = 33.0 USD N";"Tupai.jpg:outdoors:Staged";"Tupai.thumbnail.jpg:outdoors:Staged";"Women's Frock";"Women's Frock";657438-media:outdoors:Staged;
;657438;Shoes;"Tupai Summer";"Tupai Summer";pieces;outdoors:Online;"<p>Lightweight cotton in a variety of colors. Perfect for both working out or lounging around at home.</p>";"<p>Lightweight cotton in a variety of colors. Perfect for both working out or lounging around at home.</p>";approved;shirts_0:outdoors:Online;Tax_Full;"1 pieces = 33.0 USD N";"Tupai.jpg:outdoors:Online";"Tupai.thumbnail.jpg:outdoors:Online";"Women's Frock";"Women's Frock";657438-media:outdoors:Online;



;346382;Shoes;"Fiji Sport";"Fiji Sport";pieces;outdoors:Staged;"<p>Soft stretchy cotton-based fabric allows great freedom of movement and breathability. Available in a variety of colors</p>";"<p>Soft stretchy cotton-based fabric allows great freedom of movement and breathability. Available in a variety of colors</p>";approved;shorts_0:outdoors:Staged;Tax_Full;"1 pieces = 32.0 USD N";"Fiji Blue.jpg:outdoors:Staged";"Fiji Blue.thumbnail.jpg:outdoors:Staged";"Women's Running Shorts";"Women's Running Shorts";346382-media:outdoors:Staged;
;346382;Shoes;"Fiji Sport";"Fiji Sport";pieces;outdoors:Online;"<p>Soft stretchy cotton-based fabric allows great freedom of movement and breathability. Available in a variety of colors</p>";"<p>Soft stretchy cotton-based fabric allows great freedom of movement and breathability. Available in a variety of colors</p>";approved;shorts_0:outdoors:Online;Tax_Full;"1 pieces = 32.0 USD N";"Fiji Blue.jpg:outdoors:Online";"Fiji Blue.thumbnail.jpg:outdoors:Online";"Women's Running Shorts";"Women's Running Shorts";346382-media:outdoors:Online;



;57384;Shoes;"Tahiti Summer";"Tahiti Summer";pieces;outdoors:Staged;"<p>Comfort and style combined for enjoying the warm weather. 100% cotton. Back and front pockets. Stain resistant.<br></p>";"<p>Comfort and style combined for enjoying the warm weather. 100% cotton. Back and front pockets. Stain resistant.<br></p>";approved;shorts_0:outdoors:Staged;Tax_Full;"1 pieces = 49.9 USD N";"Tahiti.jpg:outdoors:Staged";"Tahiti.thumbnail.jpg:outdoors:Staged";"Women's Shorts";"Women's Shorts";57384-media:outdoors:Staged;
;57384;Shoes;"Tahiti Summer";"Tahiti Summer";pieces;outdoors:Online;"<p>Comfort and style combined for enjoying the warm weather. 100% cotton. Back and front pockets. Stain resistant.<br></p>";"<p>Comfort and style combined for enjoying the warm weather. 100% cotton. Back and front pockets. Stain resistant.<br></p>";approved;shorts_0:outdoors:Online;Tax_Full;"1 pieces = 49.9 USD N";"Tahiti.jpg:outdoors:Online";"Tahiti.thumbnail.jpg:outdoors:Online";"Women's Shorts";"Women's Shorts";57384-media:outdoors:Online;



;324987;Shoes;"Tonga Fashion";"Tonga Fashion";pieces;outdoors:Staged;"<p>Stylish flared pants made from high-quality denim. Durable double stitching with rivets for added strength. Perfect for casual evenings out.<br></p>";"<p>Stylish flared pants made from high-quality denim. Durable double stitching with rivets for added strength. Perfect for casual evenings out.<br></p>";approved;pants_0:outdoors:Staged;Tax_Full;"1 pieces = 45.0 USD N";"Tonga.jpg:outdoors:Staged";"Tonga.thumbnail.jpg:outdoors:Staged";"Women's Dress Pants";"Women's Dress Pants";324987-media:outdoors:Staged;
;324987;Shoes;"Tonga Fashion";"Tonga Fashion";pieces;outdoors:Online;"<p>Stylish flared pants made from high-quality denim. Durable double stitching with rivets for added strength. Perfect for casual evenings out.<br></p>";"<p>Stylish flared pants made from high-quality denim. Durable double stitching with rivets for added strength. Perfect for casual evenings out.<br></p>";approved;pants_0:outdoors:Online;Tax_Full;"1 pieces = 45.0 USD N";"Tonga.jpg:outdoors:Online";"Tonga.thumbnail.jpg:outdoors:Online";"Women's Dress Pants";"Women's Dress Pants";324987-media:outdoors:Online;



;397122;Shoes;"Calgary Winter";"Calgary Winter";pieces;outdoors:Staged;"<p>The Calgary wommen's winter coat is insulated with goose down to keep you warm even on the coldest days. A breatable water-resistant outer shell keeps you dry and keeps the wind out.<br></p>";"<p>The Calgary wommen's winter coat is insulated with goose down to keep you warm even on the coldest days. A breatable water-resistant outer shell keeps you dry and keeps the wind out.<br></p>";approved;coats_0:outdoors:Staged;Tax_Full;"1 pieces = 280.0 USD N";"Calgary.jpg:outdoors:Staged";"Calgary.thumbnail.jpg:outdoors:Staged";"Women's Winter Coat";"Women's Winter Coat";397122-media:outdoors:Staged;
;397122;Shoes;"Calgary Winter";"Calgary Winter";pieces;outdoors:Online;"<p>The Calgary wommen's winter coat is insulated with goose down to keep you warm even on the coldest days. A breatable water-resistant outer shell keeps you dry and keeps the wind out.<br></p>";"<p>The Calgary wommen's winter coat is insulated with goose down to keep you warm even on the coldest days. A breatable water-resistant outer shell keeps you dry and keeps the wind out.<br></p>";approved;coats_0:outdoors:Online;Tax_Full;"1 pieces = 280.0 USD N";"Calgary.jpg:outdoors:Online";"Calgary.thumbnail.jpg:outdoors:Online";"Women's Winter Coat";"Women's Winter Coat";397122-media:outdoors:Online;



;384623;Shoes;"Saskatoon Parka";"Saskatoon Parka";pieces;outdoors:Staged;"<p>The Saskatoon parka provides maximum protection in the coldest of weather. A storm shell combined with high-loft goose down ensures excellent protection from the elements, with the fur-lined hood keeping the wind and snow from your face.</p>";"<p>The Saskatoon parka provides maximum protection in the coldest of weather. A storm shell combined with high-loft goose down ensures excellent protection from the elements, with the fur-lined hood keeping the wind and snow from your face.</p>";approved;coats_0:outdoors:Staged;Tax_Full;"1 pieces = 299.0 USD N";"Saskatoon Purple.jpg:outdoors:Staged";"Saskatoon Purple.thumbnail.jpg:outdoors:Staged";"Women's Coat";"Women's Coat";384623-media:outdoors:Staged;
;384623;Shoes;"Saskatoon Parka";"Saskatoon Parka";pieces;outdoors:Online;"<p>The Saskatoon parka provides maximum protection in the coldest of weather. A storm shell combined with high-loft goose down ensures excellent protection from the elements, with the fur-lined hood keeping the wind and snow from your face.</p>";"<p>The Saskatoon parka provides maximum protection in the coldest of weather. A storm shell combined with high-loft goose down ensures excellent protection from the elements, with the fur-lined hood keeping the wind and snow from your face.</p>";approved;coats_0:outdoors:Online;Tax_Full;"1 pieces = 299.0 USD N";"Saskatoon Purple.jpg:outdoors:Online";"Saskatoon Purple.thumbnail.jpg:outdoors:Online";"Women's Coat";"Women's Coat";384623-media:outdoors:Online;



;87676;Shoes;"Nunavut Fleece";"Nunavut Fleece";pieces;outdoors:Staged;"null";"null";approved;hiking:outdoors:Staged;Tax_Full;"1 pieces = 160.0 USD N";"Nunavut Orange.jpg:outdoors:Staged";"Nunavut Orange.thumbnail.jpg:outdoors:Staged";"Coat";"Coat";87676-media:outdoors:Staged;
;87676;Shoes;"Nunavut Fleece";"Nunavut Fleece";pieces;outdoors:Online;"null";"null";approved;hiking:outdoors:Online;Tax_Full;"1 pieces = 160.0 USD N";"Nunavut Orange.jpg:outdoors:Online";"Nunavut Orange.thumbnail.jpg:outdoors:Online";"Coat";"Coat";87676-media:outdoors:Online;



;84763;;"Longirod Trek";"Longirod Trek";pieces;outdoors:Staged;"null";"null";approved;hiking:outdoors:Staged;Tax_Full;"1 pieces = 89.0 USD N";"Longirod.jpg:outdoors:Staged";"Longirod.thumbnail.jpg:outdoors:Staged";"Hiking Poles";"Hiking Poles";84763-media:outdoors:Staged;
;84763;;"Longirod Trek";"Longirod Trek";pieces;outdoors:Online;"null";"null";approved;hiking:outdoors:Online;Tax_Full;"1 pieces = 89.0 USD N";"Longirod.jpg:outdoors:Online";"Longirod.thumbnail.jpg:outdoors:Online";"Hiking Poles";"Hiking Poles";84763-media:outdoors:Online;



;987678;Shoes;"Interlaken Trek";"Interlaken Trek";pieces;outdoors:Staged;"null";"null";approved;hiking:outdoors:Staged;Tax_Full;"1 pieces = 189.9 USD N";"Interlaken.jpg:outdoors:Staged";"Interlaken.thumbnail.jpg:outdoors:Staged";"Sport Hikers Footwear";"Sport Hikers Footwear";987678-media:outdoors:Staged;
;987678;Shoes;"Interlaken Trek";"Interlaken Trek";pieces;outdoors:Online;"null";"null";approved;hiking:outdoors:Online;Tax_Full;"1 pieces = 189.9 USD N";"Interlaken.jpg:outdoors:Online";"Interlaken.thumbnail.jpg:outdoors:Online";"Sport Hikers Footwear";"Sport Hikers Footwear";987678-media:outdoors:Online;



;4376;;"Davos Trek";"Davos Trek";pieces;outdoors:Staged;"null";"null";approved;hiking:outdoors:Staged;Tax_Full;"1 pieces = 15.0 USD N";"Davos.jpg:outdoors:Staged";"Davos.thumbnail.jpg:outdoors:Staged";"Water Bottle";"Water Bottle";4376-media:outdoors:Staged;
;4376;;"Davos Trek";"Davos Trek";pieces;outdoors:Online;"null";"null";approved;hiking:outdoors:Online;Tax_Full;"1 pieces = 15.0 USD N";"Davos.jpg:outdoors:Online";"Davos.thumbnail.jpg:outdoors:Online";"Water Bottle";"Water Bottle";4376-media:outdoors:Online;



;483765;Shoes;"Cuzco";"Cuzco";pieces;outdoors:Staged;"null";"null";approved;hiking:outdoors:Staged;Tax_Full;"1 pieces = 210.0 USD N";"Lake Titicaca Blue.jpg:outdoors:Staged";"Lake Titicaca Blue.thumbnail.jpg:outdoors:Staged";"Backpack";"Backpack";483765-media:outdoors:Staged;
;483765;Shoes;"Cuzco";"Cuzco";pieces;outdoors:Online;"null";"null";approved;hiking:outdoors:Online;Tax_Full;"1 pieces = 210.0 USD N";"Lake Titicaca Blue.jpg:outdoors:Online";"Lake Titicaca Blue.thumbnail.jpg:outdoors:Online";"Backpack";"Backpack";483765-media:outdoors:Online;



;31415;Shoes;"Nairobi Runners";"Nairobi Runners";pieces;outdoors:Staged;"<p>An everyday runner that provides excellent support and comfort. Features the Geometrixx Impacto cushioning system.</p>";"<p>An everyday runner that provides excellent support and comfort. Features the Geometrixx Impacto cushioning system.</p>";approved;running:outdoors:Staged;Tax_Full;"1 pieces = 75.0 USD N";"Nairobi Blue.jpg:outdoors:Staged";"Nairobi Blue.thumbnail.jpg:outdoors:Staged";"Men's Sport Footwear";"Men's Sport Footwear";31415-media:outdoors:Staged;
;31415;Shoes;"Nairobi Runners";"Nairobi Runners";pieces;outdoors:Online;"<p>An everyday runner that provides excellent support and comfort. Features the Geometrixx Impacto cushioning system.</p>";"<p>An everyday runner that provides excellent support and comfort. Features the Geometrixx Impacto cushioning system.</p>";approved;running:outdoors:Online;Tax_Full;"1 pieces = 75.0 USD N";"Nairobi Blue.jpg:outdoors:Online";"Nairobi Blue.thumbnail.jpg:outdoors:Online";"Men's Sport Footwear";"Men's Sport Footwear";31415-media:outdoors:Online;



;32764;Shoes;"Mombassa Runners";"Mombassa Runners";pieces;outdoors:Staged;"<p>Specially engineered for a woman's foot. These cross-trainers provide impact resistance with lateral support. Suitable for both track and court.<br></p>";"<p>Specially engineered for a woman's foot. These cross-trainers provide impact resistance with lateral support. Suitable for both track and court.<br></p>";approved;running:outdoors:Staged;Tax_Full;"1 pieces = 120.0 USD N";"Mombassa Pink.jpg:outdoors:Staged";"Mombassa Pink.thumbnail.jpg:outdoors:Staged";"Women's Cross-Trainers";"Women's Cross-Trainers";32764-media:outdoors:Staged;
;32764;Shoes;"Mombassa Runners";"Mombassa Runners";pieces;outdoors:Online;"<p>Specially engineered for a woman's foot. These cross-trainers provide impact resistance with lateral support. Suitable for both track and court.<br></p>";"<p>Specially engineered for a woman's foot. These cross-trainers provide impact resistance with lateral support. Suitable for both track and court.<br></p>";approved;running:outdoors:Online;Tax_Full;"1 pieces = 120.0 USD N";"Mombassa Pink.jpg:outdoors:Online";"Mombassa Pink.thumbnail.jpg:outdoors:Online";"Women's Cross-Trainers";"Women's Cross-Trainers";32764-media:outdoors:Online;



;46587;;"Cajamara";"Cajamara";pieces;outdoors:Staged;"null";"null";approved;biking:outdoors:Staged;Tax_Full;"1 pieces = 210.0 USD N";"Cajamara.jpg:outdoors:Staged";"Cajamara.thumbnail.jpg:outdoors:Staged";"Bike";"Bike";46587-media:outdoors:Staged;
;46587;;"Cajamara";"Cajamara";pieces;outdoors:Online;"null";"null";approved;biking:outdoors:Online;Tax_Full;"1 pieces = 210.0 USD N";"Cajamara.jpg:outdoors:Online";"Cajamara.thumbnail.jpg:outdoors:Online";"Bike";"Bike";46587-media:outdoors:Online;



;9846834;Shoes;"Tacna";"Tacna";pieces;outdoors:Staged;"null";"null";approved;biking:outdoors:Staged;Tax_Full;"1 pieces = 42.0 USD N";"Tacna.jpg:outdoors:Staged";"Tacna.thumbnail.jpg:outdoors:Staged";"Biking Helmet";"Biking Helmet";9846834-media:outdoors:Staged;
;9846834;Shoes;"Tacna";"Tacna";pieces;outdoors:Online;"null";"null";approved;biking:outdoors:Online;Tax_Full;"1 pieces = 42.0 USD N";"Tacna.jpg:outdoors:Online";"Tacna.thumbnail.jpg:outdoors:Online";"Biking Helmet";"Biking Helmet";9846834-media:outdoors:Online;



;946346;Shoes;"Whistler Snow";"Whistler Snow";pieces;outdoors:Staged;"<p>With the newly developed Geospan core made from straight-grained Finnish birch, the Whistler is lightweight yet responsive. This high-performance board let's you push the envelope while staying totally in control. The Omnichrome finish protects the structure of the board and looks great doing it!</p>";"<p>With the newly developed Geospan core made from straight-grained Finnish birch, the Whistler is lightweight yet responsive. This high-performance board let's you push the envelope while staying totally in control. The Omnichrome finish protects the structure of the board and looks great doing it!</p>";approved;skiing:outdoors:Staged;Tax_Full;"1 pieces = 244.95 USD N";"Whistler.jpg:outdoors:Staged";"Whistler.thumbnail.jpg:outdoors:Staged";"Snowboard";"Snowboard";946346-media:outdoors:Staged;
;946346;Shoes;"Whistler Snow";"Whistler Snow";pieces;outdoors:Online;"<p>With the newly developed Geospan core made from straight-grained Finnish birch, the Whistler is lightweight yet responsive. This high-performance board let's you push the envelope while staying totally in control. The Omnichrome finish protects the structure of the board and looks great doing it!</p>";"<p>With the newly developed Geospan core made from straight-grained Finnish birch, the Whistler is lightweight yet responsive. This high-performance board let's you push the envelope while staying totally in control. The Omnichrome finish protects the structure of the board and looks great doing it!</p>";approved;skiing:outdoors:Online;Tax_Full;"1 pieces = 244.95 USD N";"Whistler.jpg:outdoors:Online";"Whistler.thumbnail.jpg:outdoors:Online";"Snowboard";"Snowboard";946346-media:outdoors:Online;



;93487;Shoes;"Blackcomb Snow";"Blackcomb Snow";pieces;outdoors:Staged;"<p>The most technical gloves we offer. With Nortex protection on the outside and Superfleece warmth on the inside.</p><p></p>";"<p>The most technical gloves we offer. With Nortex protection on the outside and Superfleece warmth on the inside.</p><p></p>";approved;skiing:outdoors:Staged;Tax_Full;"1 pieces = 75.0 USD N";"Blackcomb.jpg:outdoors:Staged";"Blackcomb.thumbnail.jpg:outdoors:Staged";"Ski Gloves";"Ski Gloves";93487-media:outdoors:Staged;
;93487;Shoes;"Blackcomb Snow";"Blackcomb Snow";pieces;outdoors:Online;"<p>The most technical gloves we offer. With Nortex protection on the outside and Superfleece warmth on the inside.</p><p></p>";"<p>The most technical gloves we offer. With Nortex protection on the outside and Superfleece warmth on the inside.</p><p></p>";approved;skiing:outdoors:Online;Tax_Full;"1 pieces = 75.0 USD N";"Blackcomb.jpg:outdoors:Online";"Blackcomb.thumbnail.jpg:outdoors:Online";"Ski Gloves";"Ski Gloves";93487-media:outdoors:Online;



;98347;Shoes;"Banff Snow";"Banff Snow";pieces;outdoors:Staged;"null";"null";approved;skiing:outdoors:Staged;Tax_Full;"1 pieces = 110.0 USD N";"Banff.jpg:outdoors:Staged";"Banff.thumbnail.jpg:outdoors:Staged";"Ski Boots";"Ski Boots";98347-media:outdoors:Staged;
;98347;Shoes;"Banff Snow";"Banff Snow";pieces;outdoors:Online;"null";"null";approved;skiing:outdoors:Online;Tax_Full;"1 pieces = 110.0 USD N";"Banff.jpg:outdoors:Online";"Banff.thumbnail.jpg:outdoors:Online";"Ski Boots";"Ski Boots";98347-media:outdoors:Online;



;1346;;"Fernie Snow";"Fernie Snow";pieces;outdoors:Staged;"null";"null";approved;skiing:outdoors:Staged;Tax_Full;"1 pieces = 38.0 USD N";"Fernie.jpg:outdoors:Staged";"Fernie.thumbnail.jpg:outdoors:Staged";"Men's Ski Goggles";"Men's Ski Goggles";1346-media:outdoors:Staged;
;1346;;"Fernie Snow";"Fernie Snow";pieces;outdoors:Online;"null";"null";approved;skiing:outdoors:Online;Tax_Full;"1 pieces = 38.0 USD N";"Fernie.jpg:outdoors:Online";"Fernie.thumbnail.jpg:outdoors:Online";"Men's Ski Goggles";"Men's Ski Goggles";1346-media:outdoors:Online;



